team1,team2,toss_winner,toss_decision,venue,city,winner
Mumbai Indians,Sunrisers Hyderabad,Mumbai Indians,field,Wankhede Stadium,Mumbai,Mumbai Indians
Kolkata Knight Riders,Punjab Kings,Kolkata Knight Riders,field,Eden Gardens,Kolkata,Kolkata Knight Riders
Royal Challengers Bengaluru,Mumbai Indians,Mumbai Indians,field,M Chinnaswamy Stadium,Bangalore,Mumbai Indians
Kolkata Knight Riders,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Eden Gardens,Kolkata,Kolkata Knight Riders
Delhi Capitals,Punjab Kings,Delhi Capitals,bat,Feroz Shah Kotla,Delhi,Delhi Capitals
Delhi Capitals,Kolkata Knight Riders,Delhi Capitals,bat,Feroz Shah Kotla,Delhi,Kolkata Knight Riders
Sunrisers Hyderabad,Punjab Kings,Punjab Kings,field,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,Sunrisers Hyderabad
Sunrisers Hyderabad,Delhi Capitals,Sunrisers Hyderabad,bat,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,Sunrisers Hyderabad
Punjab Kings,Mumbai Indians,Mumbai Indians,field,Holkar Cricket Stadium,Indore,Mumbai Indians
Mumbai Indians,Delhi Capitals,Delhi Capitals,field,Wankhede Stadium,Mumbai,Mumbai Indians
Kolkata Knight Riders,Royal Challengers Bengaluru,Royal Challengers Bengaluru,field,Eden Gardens,Kolkata,Kolkata Knight Riders
Kolkata Knight Riders,Delhi Capitals,Kolkata Knight Riders,field,Eden Gardens,Kolkata,Kolkata Knight Riders
Punjab Kings,Sunrisers Hyderabad,Punjab Kings,field,"Punjab Cricket Association IS Bindra Stadium, Mohali",Chandigarh,Sunrisers Hyderabad
Punjab Kings,Delhi Capitals,Punjab Kings,field,"Punjab Cricket Association IS Bindra Stadium, Mohali",Chandigarh,Punjab Kings
Sunrisers Hyderabad,Kolkata Knight Riders,Kolkata Knight Riders,field,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,Sunrisers Hyderabad
Mumbai Indians,Royal Challengers Bengaluru,Royal Challengers Bengaluru,bat,Wankhede Stadium,Mumbai,Mumbai Indians
Delhi Capitals,Sunrisers Hyderabad,Delhi Capitals,field,Feroz Shah Kotla,Delhi,Delhi Capitals
Royal Challengers Bengaluru,Punjab Kings,Royal Challengers Bengaluru,field,M Chinnaswamy Stadium,Bangalore,Punjab Kings
Delhi Capitals,Mumbai Indians,Delhi Capitals,field,Feroz Shah Kotla,Delhi,Mumbai Indians
Royal Challengers Bengaluru,Kolkata Knight Riders,Kolkata Knight Riders,field,M Chinnaswamy Stadium,Bangalore,Kolkata Knight Riders
Sunrisers Hyderabad,Mumbai Indians,Mumbai Indians,bat,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,Sunrisers Hyderabad
Punjab Kings,Kolkata Knight Riders,Kolkata Knight Riders,field,"Punjab Cricket Association IS Bindra Stadium, Mohali",Chandigarh,Punjab Kings
Mumbai Indians,Punjab Kings,Mumbai Indians,field,Wankhede Stadium,Mumbai,Punjab Kings
Kolkata Knight Riders,Mumbai Indians,Kolkata Knight Riders,field,Eden Gardens,Kolkata,Mumbai Indians
Delhi Capitals,Royal Challengers Bengaluru,Royal Challengers Bengaluru,bat,Feroz Shah Kotla,Delhi,Royal Challengers Bengaluru
Sunrisers Hyderabad,Kolkata Knight Riders,Kolkata Knight Riders,field,M Chinnaswamy Stadium,Bangalore,Kolkata Knight Riders
Mumbai Indians,Kolkata Knight Riders,Mumbai Indians,field,M Chinnaswamy Stadium,Bangalore,Mumbai Indians
Mumbai Indians,Chennai Super Kings,Chennai Super Kings,field,Wankhede Stadium,Mumbai,Chennai Super Kings
Delhi Capitals,Punjab Kings,Punjab Kings,field,Punjab Cricket Association IS Bindra Stadium,Chandigarh,Punjab Kings
Royal Challengers Bengaluru,Kolkata Knight Riders,Kolkata Knight Riders,field,Eden Gardens,Kolkata,Kolkata Knight Riders
Rajasthan Royals,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Rajiv Gandhi International Stadium,Hyderabad,Sunrisers Hyderabad
Kolkata Knight Riders,Chennai Super Kings,Chennai Super Kings,field,MA Chidambaram Stadium,Chennai,Chennai Super Kings
Rajasthan Royals,Delhi Capitals,Delhi Capitals,field,Sawai Mansingh Stadium,Jaipur,Rajasthan Royals
Mumbai Indians,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Rajiv Gandhi International Stadium,Hyderabad,Sunrisers Hyderabad
Punjab Kings,Royal Challengers Bengaluru,Royal Challengers Bengaluru,field,M.Chinnaswamy Stadium,Bengaluru,Royal Challengers Bengaluru
Mumbai Indians,Delhi Capitals,Delhi Capitals,field,Wankhede Stadium,Mumbai,Delhi Capitals
Kolkata Knight Riders,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Eden Gardens,Kolkata,Sunrisers Hyderabad
Rajasthan Royals,Royal Challengers Bengaluru,Royal Challengers Bengaluru,field,M.Chinnaswamy Stadium,Bengaluru,Rajasthan Royals
Punjab Kings,Chennai Super Kings,Chennai Super Kings,field,Punjab Cricket Association IS Bindra Stadium,Chandigarh,Punjab Kings
Kolkata Knight Riders,Delhi Capitals,Delhi Capitals,field,Eden Gardens,Kolkata,Kolkata Knight Riders
Mumbai Indians,Royal Challengers Bengaluru,Royal Challengers Bengaluru,field,Wankhede Stadium,Mumbai,Mumbai Indians
Rajasthan Royals,Kolkata Knight Riders,Kolkata Knight Riders,field,Sawai Mansingh Stadium,Jaipur,Kolkata Knight Riders
Punjab Kings,Sunrisers Hyderabad,Punjab Kings,bat,Punjab Cricket Association IS Bindra Stadium,Chandigarh,Punjab Kings
Chennai Super Kings,Rajasthan Royals,Rajasthan Royals,field,Maharashtra Cricket Association Stadium,Pune,Chennai Super Kings
Kolkata Knight Riders,Punjab Kings,Punjab Kings,field,Eden Gardens,Kolkata,Punjab Kings
Delhi Capitals,Royal Challengers Bengaluru,Royal Challengers Bengaluru,field,M.Chinnaswamy Stadium,Bengaluru,Royal Challengers Bengaluru
Chennai Super Kings,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Rajiv Gandhi International Stadium,Hyderabad,Chennai Super Kings
Mumbai Indians,Rajasthan Royals,Mumbai Indians,bat,Sawai Mansingh Stadium,Jaipur,Rajasthan Royals
Punjab Kings,Delhi Capitals,Delhi Capitals,field,Arun Jaitley Stadium,Delhi,Punjab Kings
Sunrisers Hyderabad,Mumbai Indians,Mumbai Indians,field,Wankhede Stadium,Mumbai,Sunrisers Hyderabad
Royal Challengers Bengaluru,Chennai Super Kings,Chennai Super Kings,field,M.Chinnaswamy Stadium,Bengaluru,Chennai Super Kings
Sunrisers Hyderabad,Punjab Kings,Punjab Kings,field,Rajiv Gandhi International Stadium,Hyderabad,Sunrisers Hyderabad
Delhi Capitals,Kolkata Knight Riders,Kolkata Knight Riders,field,Arun Jaitley Stadium,Delhi,Delhi Capitals
Chennai Super Kings,Mumbai Indians,Mumbai Indians,field,Maharashtra Cricket Association Stadium,Pune,Mumbai Indians
Sunrisers Hyderabad,Rajasthan Royals,Sunrisers Hyderabad,bat,Sawai Mansingh Stadium,Jaipur,Sunrisers Hyderabad
Royal Challengers Bengaluru,Kolkata Knight Riders,Kolkata Knight Riders,field,M.Chinnaswamy Stadium,Bengaluru,Kolkata Knight Riders
Chennai Super Kings,Delhi Capitals,Delhi Capitals,field,Maharashtra Cricket Association Stadium,Pune,Chennai Super Kings
Royal Challengers Bengaluru,Mumbai Indians,Mumbai Indians,field,M.Chinnaswamy Stadium,Bengaluru,Royal Challengers Bengaluru
Delhi Capitals,Rajasthan Royals,Rajasthan Royals,field,Arun Jaitley Stadium,Delhi,Delhi Capitals
Chennai Super Kings,Kolkata Knight Riders,Kolkata Knight Riders,field,Eden Gardens,Kolkata,Kolkata Knight Riders
Punjab Kings,Mumbai Indians,Mumbai Indians,field,Holkar Cricket Stadium,Indore,Mumbai Indians
Royal Challengers Bengaluru,Chennai Super Kings,Chennai Super Kings,field,Maharashtra Cricket Association Stadium,Pune,Chennai Super Kings
Delhi Capitals,Sunrisers Hyderabad,Delhi Capitals,bat,Rajiv Gandhi International Stadium,Hyderabad,Sunrisers Hyderabad
Mumbai Indians,Kolkata Knight Riders,Kolkata Knight Riders,field,Wankhede Stadium,Mumbai,Mumbai Indians
Rajasthan Royals,Punjab Kings,Punjab Kings,field,Holkar Cricket Stadium,Indore,Punjab Kings
Sunrisers Hyderabad,Royal Challengers Bengaluru,Royal Challengers Bengaluru,field,Rajiv Gandhi International Stadium,Hyderabad,Sunrisers Hyderabad
Rajasthan Royals,Punjab Kings,Rajasthan Royals,bat,Sawai Mansingh Stadium,Jaipur,Rajasthan Royals
Mumbai Indians,Kolkata Knight Riders,Kolkata Knight Riders,field,Eden Gardens,Kolkata,Mumbai Indians
Delhi Capitals,Sunrisers Hyderabad,Delhi Capitals,bat,Arun Jaitley Stadium,Delhi,Sunrisers Hyderabad
Chennai Super Kings,Rajasthan Royals,Chennai Super Kings,bat,Sawai Mansingh Stadium,Jaipur,Rajasthan Royals
Kolkata Knight Riders,Punjab Kings,Punjab Kings,field,Holkar Cricket Stadium,Indore,Kolkata Knight Riders
Delhi Capitals,Royal Challengers Bengaluru,Royal Challengers Bengaluru,field,Arun Jaitley Stadium,Delhi,Royal Challengers Bengaluru
Sunrisers Hyderabad,Chennai Super Kings,Chennai Super Kings,field,Maharashtra Cricket Association Stadium,Pune,Chennai Super Kings
Mumbai Indians,Rajasthan Royals,Rajasthan Royals,field,Wankhede Stadium,Mumbai,Rajasthan Royals
Punjab Kings,Royal Challengers Bengaluru,Royal Challengers Bengaluru,field,Holkar Cricket Stadium,Indore,Royal Challengers Bengaluru
Rajasthan Royals,Kolkata Knight Riders,Kolkata Knight Riders,field,Eden Gardens,Kolkata,Kolkata Knight Riders
Mumbai Indians,Punjab Kings,Punjab Kings,field,Wankhede Stadium,Mumbai,Mumbai Indians
Royal Challengers Bengaluru,Sunrisers Hyderabad,Sunrisers Hyderabad,field,M.Chinnaswamy Stadium,Bengaluru,Royal Challengers Bengaluru
Delhi Capitals,Chennai Super Kings,Chennai Super Kings,field,Arun Jaitley Stadium,Delhi,Delhi Capitals
Rajasthan Royals,Royal Challengers Bengaluru,Rajasthan Royals,bat,Sawai Mansingh Stadium,Jaipur,Rajasthan Royals
Sunrisers Hyderabad,Kolkata Knight Riders,Sunrisers Hyderabad,bat,Rajiv Gandhi International Stadium,Hyderabad,Kolkata Knight Riders
Delhi Capitals,Mumbai Indians,Delhi Capitals,bat,Arun Jaitley Stadium,Delhi,Delhi Capitals
Punjab Kings,Chennai Super Kings,Chennai Super Kings,field,Maharashtra Cricket Association Stadium,Pune,Chennai Super Kings
Sunrisers Hyderabad,Chennai Super Kings,Chennai Super Kings,field,Wankhede Stadium,Mumbai,Chennai Super Kings
Kolkata Knight Riders,Rajasthan Royals,Rajasthan Royals,field,Eden Gardens,Kolkata,Kolkata Knight Riders
Sunrisers Hyderabad,Kolkata Knight Riders,Kolkata Knight Riders,field,Eden Gardens,Kolkata,Sunrisers Hyderabad
Sunrisers Hyderabad,Chennai Super Kings,Chennai Super Kings,field,Wankhede Stadium,Mumbai,Chennai Super Kings
Royal Challengers Bengaluru,Chennai Super Kings,Chennai Super Kings,field,MA Chidambaram Stadium,Chennai,Chennai Super Kings
Sunrisers Hyderabad,Kolkata Knight Riders,Kolkata Knight Riders,field,Eden Gardens,Kolkata,Kolkata Knight Riders
Delhi Capitals,Mumbai Indians,Mumbai Indians,field,Wankhede Stadium,Mumbai,Delhi Capitals
Punjab Kings,Rajasthan Royals,Rajasthan Royals,field,Sawai Mansingh Stadium,Jaipur,Punjab Kings
Delhi Capitals,Chennai Super Kings,Delhi Capitals,bat,Arun Jaitley Stadium,Delhi,Chennai Super Kings
Kolkata Knight Riders,Punjab Kings,Punjab Kings,field,Eden Gardens,Kolkata,Kolkata Knight Riders
Mumbai Indians,Royal Challengers Bengaluru,Royal Challengers Bengaluru,field,M.Chinnaswamy Stadium,Bengaluru,Mumbai Indians
Rajasthan Royals,Sunrisers Hyderabad,Rajasthan Royals,bat,Rajiv Gandhi International Stadium,Hyderabad,Sunrisers Hyderabad
Mumbai Indians,Punjab Kings,Punjab Kings,field,Punjab Cricket Association IS Bindra Stadium,Chandigarh,Punjab Kings
Kolkata Knight Riders,Delhi Capitals,Delhi Capitals,field,Arun Jaitley Stadium,Delhi,Delhi Capitals
Sunrisers Hyderabad,Royal Challengers Bengaluru,Royal Challengers Bengaluru,field,Rajiv Gandhi International Stadium,Hyderabad,Sunrisers Hyderabad
Chennai Super Kings,Rajasthan Royals,Rajasthan Royals,field,MA Chidambaram Stadium,Chennai,Chennai Super Kings
Punjab Kings,Delhi Capitals,Delhi Capitals,field,Punjab Cricket Association IS Bindra Stadium,Chandigarh,Punjab Kings
Royal Challengers Bengaluru,Rajasthan Royals,Rajasthan Royals,field,Sawai Mansingh Stadium,Jaipur,Rajasthan Royals
Mumbai Indians,Chennai Super Kings,Chennai Super Kings,field,Wankhede Stadium,Mumbai,Mumbai Indians
Delhi Capitals,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Arun Jaitley Stadium,Delhi,Sunrisers Hyderabad
Royal Challengers Bengaluru,Kolkata Knight Riders,Kolkata Knight Riders,field,M.Chinnaswamy Stadium,Bengaluru,Kolkata Knight Riders
Chennai Super Kings,Punjab Kings,Chennai Super Kings,bat,MA Chidambaram Stadium,Chennai,Chennai Super Kings
Mumbai Indians,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Rajiv Gandhi International Stadium,Hyderabad,Mumbai Indians
Royal Challengers Bengaluru,Delhi Capitals,Delhi Capitals,field,M.Chinnaswamy Stadium,Bengaluru,Delhi Capitals
Rajasthan Royals,Kolkata Knight Riders,Kolkata Knight Riders,field,Sawai Mansingh Stadium,Jaipur,Kolkata Knight Riders
Sunrisers Hyderabad,Punjab Kings,Punjab Kings,field,Punjab Cricket Association IS Bindra Stadium,Chandigarh,Punjab Kings
Kolkata Knight Riders,Chennai Super Kings,Chennai Super Kings,field,MA Chidambaram Stadium,Chennai,Chennai Super Kings
Punjab Kings,Mumbai Indians,Mumbai Indians,field,Wankhede Stadium,Mumbai,Mumbai Indians
Rajasthan Royals,Chennai Super Kings,Chennai Super Kings,field,Sawai Mansingh Stadium,Jaipur,Chennai Super Kings
Kolkata Knight Riders,Delhi Capitals,Delhi Capitals,field,Eden Gardens,Kolkata,Delhi Capitals
Mumbai Indians,Rajasthan Royals,Rajasthan Royals,field,Wankhede Stadium,Mumbai,Rajasthan Royals
Punjab Kings,Royal Challengers Bengaluru,Royal Challengers Bengaluru,field,Punjab Cricket Association IS Bindra Stadium,Chandigarh,Royal Challengers Bengaluru
Kolkata Knight Riders,Chennai Super Kings,Chennai Super Kings,field,Eden Gardens,Kolkata,Chennai Super Kings
Delhi Capitals,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Rajiv Gandhi International Stadium,Hyderabad,Delhi Capitals
Royal Challengers Bengaluru,Mumbai Indians,Mumbai Indians,field,Wankhede Stadium,Mumbai,Mumbai Indians
Punjab Kings,Rajasthan Royals,Rajasthan Royals,field,Punjab Cricket Association IS Bindra Stadium,Chandigarh,Punjab Kings
Chennai Super Kings,Sunrisers Hyderabad,Chennai Super Kings,bat,Rajiv Gandhi International Stadium,Hyderabad,Sunrisers Hyderabad
Mumbai Indians,Delhi Capitals,Mumbai Indians,bat,Arun Jaitley Stadium,Delhi,Mumbai Indians
Royal Challengers Bengaluru,Kolkata Knight Riders,Kolkata Knight Riders,field,Eden Gardens,Kolkata,Royal Challengers Bengaluru
Mumbai Indians,Rajasthan Royals,Rajasthan Royals,field,Sawai Mansingh Stadium,Jaipur,Rajasthan Royals
Punjab Kings,Delhi Capitals,Delhi Capitals,field,Arun Jaitley Stadium,Delhi,Delhi Capitals
Kolkata Knight Riders,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Rajiv Gandhi International Stadium,Hyderabad,Sunrisers Hyderabad
Royal Challengers Bengaluru,Chennai Super Kings,Chennai Super Kings,field,M.Chinnaswamy Stadium,Bengaluru,Royal Challengers Bengaluru
Rajasthan Royals,Delhi Capitals,Delhi Capitals,field,Sawai Mansingh Stadium,Jaipur,Delhi Capitals
Sunrisers Hyderabad,Chennai Super Kings,Chennai Super Kings,field,MA Chidambaram Stadium,Chennai,Chennai Super Kings
Royal Challengers Bengaluru,Punjab Kings,Punjab Kings,field,M.Chinnaswamy Stadium,Bengaluru,Royal Challengers Bengaluru
Kolkata Knight Riders,Rajasthan Royals,Rajasthan Royals,field,Eden Gardens,Kolkata,Rajasthan Royals
Mumbai Indians,Chennai Super Kings,Chennai Super Kings,field,MA Chidambaram Stadium,Chennai,Mumbai Indians
Sunrisers Hyderabad,Rajasthan Royals,Rajasthan Royals,field,Sawai Mansingh Stadium,Jaipur,Rajasthan Royals
Delhi Capitals,Royal Challengers Bengaluru,Delhi Capitals,bat,Arun Jaitley Stadium,Delhi,Delhi Capitals
Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,field,Eden Gardens,Kolkata,Kolkata Knight Riders
Sunrisers Hyderabad,Punjab Kings,Punjab Kings,field,Rajiv Gandhi International Stadium,Hyderabad,Sunrisers Hyderabad
Chennai Super Kings,Delhi Capitals,Delhi Capitals,field,MA Chidambaram Stadium,Chennai,Chennai Super Kings
Mumbai Indians,Sunrisers Hyderabad,Mumbai Indians,bat,Wankhede Stadium,Mumbai,Mumbai Indians
Punjab Kings,Kolkata Knight Riders,Kolkata Knight Riders,field,Punjab Cricket Association IS Bindra Stadium,Chandigarh,Kolkata Knight Riders
Rajasthan Royals,Delhi Capitals,Rajasthan Royals,bat,Arun Jaitley Stadium,Delhi,Delhi Capitals
Sunrisers Hyderabad,Royal Challengers Bengaluru,Royal Challengers Bengaluru,field,M.Chinnaswamy Stadium,Bengaluru,Royal Challengers Bengaluru
Chennai Super Kings,Punjab Kings,Punjab Kings,field,Punjab Cricket Association IS Bindra Stadium,Chandigarh,Punjab Kings
Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,field,Wankhede Stadium,Mumbai,Mumbai Indians
Chennai Super Kings,Mumbai Indians,Chennai Super Kings,bat,MA Chidambaram Stadium,Chennai,Mumbai Indians
Sunrisers Hyderabad,Delhi Capitals,Delhi Capitals,field,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Visakhapatnam,Delhi Capitals
Delhi Capitals,Chennai Super Kings,Chennai Super Kings,field,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Visakhapatnam,Chennai Super Kings
Mumbai Indians,Chennai Super Kings,Mumbai Indians,bat,Rajiv Gandhi International Stadium,Hyderabad,Mumbai Indians
Mumbai Indians,Chennai Super Kings,Chennai Super Kings,field,Sheikh Zayed Stadium,Abu Dhabi,Chennai Super Kings
Delhi Capitals,Punjab Kings,Punjab Kings,field,Dubai International Cricket Stadium,Unknown,Delhi Capitals
Royal Challengers Bengaluru,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Dubai International Cricket Stadium,Unknown,Royal Challengers Bengaluru
Rajasthan Royals,Chennai Super Kings,Chennai Super Kings,field,Sharjah Cricket Stadium,Unknown,Rajasthan Royals
Mumbai Indians,Kolkata Knight Riders,Kolkata Knight Riders,field,Sheikh Zayed Stadium,Abu Dhabi,Mumbai Indians
Punjab Kings,Royal Challengers Bengaluru,Royal Challengers Bengaluru,field,Dubai International Cricket Stadium,Unknown,Punjab Kings
Delhi Capitals,Chennai Super Kings,Chennai Super Kings,field,Dubai International Cricket Stadium,Unknown,Delhi Capitals
Sunrisers Hyderabad,Kolkata Knight Riders,Sunrisers Hyderabad,bat,Sheikh Zayed Stadium,Abu Dhabi,Kolkata Knight Riders
Punjab Kings,Rajasthan Royals,Rajasthan Royals,field,Sharjah Cricket Stadium,Unknown,Rajasthan Royals
Royal Challengers Bengaluru,Mumbai Indians,Mumbai Indians,field,Dubai International Cricket Stadium,Unknown,Royal Challengers Bengaluru
Sunrisers Hyderabad,Delhi Capitals,Delhi Capitals,field,Sheikh Zayed Stadium,Abu Dhabi,Sunrisers Hyderabad
Kolkata Knight Riders,Rajasthan Royals,Rajasthan Royals,field,Dubai International Cricket Stadium,Unknown,Kolkata Knight Riders
Mumbai Indians,Punjab Kings,Punjab Kings,field,Sheikh Zayed Stadium,Abu Dhabi,Mumbai Indians
Sunrisers Hyderabad,Chennai Super Kings,Sunrisers Hyderabad,bat,Dubai International Cricket Stadium,Unknown,Sunrisers Hyderabad
Rajasthan Royals,Royal Challengers Bengaluru,Rajasthan Royals,bat,Sheikh Zayed Stadium,Abu Dhabi,Royal Challengers Bengaluru
Delhi Capitals,Kolkata Knight Riders,Kolkata Knight Riders,field,Sharjah Cricket Stadium,Unknown,Delhi Capitals
Punjab Kings,Chennai Super Kings,Punjab Kings,bat,Dubai International Cricket Stadium,Unknown,Chennai Super Kings
Mumbai Indians,Sunrisers Hyderabad,Mumbai Indians,bat,Sharjah Cricket Stadium,Unknown,Mumbai Indians
Delhi Capitals,Royal Challengers Bengaluru,Royal Challengers Bengaluru,field,Dubai International Cricket Stadium,Unknown,Delhi Capitals
Mumbai Indians,Rajasthan Royals,Mumbai Indians,bat,Sheikh Zayed Stadium,Abu Dhabi,Mumbai Indians
Kolkata Knight Riders,Chennai Super Kings,Kolkata Knight Riders,bat,Sheikh Zayed Stadium,Abu Dhabi,Kolkata Knight Riders
Sunrisers Hyderabad,Punjab Kings,Sunrisers Hyderabad,bat,Dubai International Cricket Stadium,Unknown,Sunrisers Hyderabad
Delhi Capitals,Rajasthan Royals,Rajasthan Royals,field,Sharjah Cricket Stadium,Unknown,Delhi Capitals
Kolkata Knight Riders,Punjab Kings,Kolkata Knight Riders,bat,Sheikh Zayed Stadium,Abu Dhabi,Kolkata Knight Riders
Royal Challengers Bengaluru,Chennai Super Kings,Royal Challengers Bengaluru,bat,Dubai International Cricket Stadium,Unknown,Royal Challengers Bengaluru
Sunrisers Hyderabad,Rajasthan Royals,Sunrisers Hyderabad,bat,Dubai International Cricket Stadium,Unknown,Rajasthan Royals
Delhi Capitals,Mumbai Indians,Delhi Capitals,bat,Sheikh Zayed Stadium,Abu Dhabi,Mumbai Indians
Royal Challengers Bengaluru,Kolkata Knight Riders,Royal Challengers Bengaluru,bat,Sharjah Cricket Stadium,Unknown,Royal Challengers Bengaluru
Chennai Super Kings,Sunrisers Hyderabad,Chennai Super Kings,bat,Dubai International Cricket Stadium,Unknown,Chennai Super Kings
Delhi Capitals,Rajasthan Royals,Delhi Capitals,bat,Dubai International Cricket Stadium,Unknown,Delhi Capitals
Royal Challengers Bengaluru,Punjab Kings,Royal Challengers Bengaluru,bat,Sharjah Cricket Stadium,Unknown,Punjab Kings
Kolkata Knight Riders,Mumbai Indians,Kolkata Knight Riders,bat,Sheikh Zayed Stadium,Abu Dhabi,Mumbai Indians
Chennai Super Kings,Delhi Capitals,Chennai Super Kings,bat,Sharjah Cricket Stadium,Unknown,Delhi Capitals
Rajasthan Royals,Royal Challengers Bengaluru,Rajasthan Royals,bat,Dubai International Cricket Stadium,Unknown,Royal Challengers Bengaluru
Kolkata Knight Riders,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Sheikh Zayed Stadium,Abu Dhabi,Kolkata Knight Riders
Mumbai Indians,Punjab Kings,Mumbai Indians,bat,Dubai International Cricket Stadium,Unknown,Punjab Kings
Chennai Super Kings,Rajasthan Royals,Chennai Super Kings,bat,Sheikh Zayed Stadium,Abu Dhabi,Rajasthan Royals
Delhi Capitals,Punjab Kings,Delhi Capitals,bat,Dubai International Cricket Stadium,Unknown,Punjab Kings
Kolkata Knight Riders,Royal Challengers Bengaluru,Kolkata Knight Riders,bat,Sheikh Zayed Stadium,Abu Dhabi,Royal Challengers Bengaluru
Rajasthan Royals,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Dubai International Cricket Stadium,Unknown,Sunrisers Hyderabad
Chennai Super Kings,Mumbai Indians,Mumbai Indians,field,Sharjah Cricket Stadium,Unknown,Mumbai Indians
Kolkata Knight Riders,Delhi Capitals,Delhi Capitals,field,Sheikh Zayed Stadium,Abu Dhabi,Kolkata Knight Riders
Punjab Kings,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Dubai International Cricket Stadium,Unknown,Punjab Kings
Mumbai Indians,Rajasthan Royals,Mumbai Indians,bat,Sheikh Zayed Stadium,Abu Dhabi,Rajasthan Royals
Royal Challengers Bengaluru,Chennai Super Kings,Royal Challengers Bengaluru,bat,Dubai International Cricket Stadium,Unknown,Chennai Super Kings
Kolkata Knight Riders,Punjab Kings,Punjab Kings,field,Sharjah Cricket Stadium,Unknown,Punjab Kings
Sunrisers Hyderabad,Delhi Capitals,Delhi Capitals,field,Dubai International Cricket Stadium,Unknown,Sunrisers Hyderabad
Royal Challengers Bengaluru,Mumbai Indians,Mumbai Indians,field,Sheikh Zayed Stadium,Abu Dhabi,Mumbai Indians
Kolkata Knight Riders,Chennai Super Kings,Chennai Super Kings,field,Dubai International Cricket Stadium,Unknown,Chennai Super Kings
Punjab Kings,Rajasthan Royals,Rajasthan Royals,field,Sheikh Zayed Stadium,Abu Dhabi,Rajasthan Royals
Royal Challengers Bengaluru,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Sharjah Cricket Stadium,Unknown,Sunrisers Hyderabad
Delhi Capitals,Mumbai Indians,Mumbai Indians,field,Dubai International Cricket Stadium,Unknown,Mumbai Indians
Punjab Kings,Chennai Super Kings,Chennai Super Kings,field,Sheikh Zayed Stadium,Abu Dhabi,Chennai Super Kings
Kolkata Knight Riders,Rajasthan Royals,Rajasthan Royals,field,Dubai International Cricket Stadium,Unknown,Kolkata Knight Riders
Royal Challengers Bengaluru,Delhi Capitals,Delhi Capitals,field,Sheikh Zayed Stadium,Abu Dhabi,Delhi Capitals
Mumbai Indians,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Sharjah Cricket Stadium,Unknown,Sunrisers Hyderabad
Mumbai Indians,Delhi Capitals,Delhi Capitals,field,Dubai International Cricket Stadium,Unknown,Mumbai Indians
Royal Challengers Bengaluru,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Sheikh Zayed Stadium,Abu Dhabi,Sunrisers Hyderabad
Delhi Capitals,Sunrisers Hyderabad,Delhi Capitals,bat,Sheikh Zayed Stadium,Abu Dhabi,Delhi Capitals
Delhi Capitals,Mumbai Indians,Delhi Capitals,bat,Dubai International Cricket Stadium,Unknown,Mumbai Indians
Mumbai Indians,Royal Challengers Bengaluru,Royal Challengers Bengaluru,field,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai,Royal Challengers Bengaluru
Chennai Super Kings,Delhi Capitals,Delhi Capitals,field,"Wankhede Stadium, Mumbai",Mumbai,Delhi Capitals
Kolkata Knight Riders,Sunrisers Hyderabad,Sunrisers Hyderabad,field,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai,Kolkata Knight Riders
Punjab Kings,Rajasthan Royals,Rajasthan Royals,field,"Wankhede Stadium, Mumbai",Mumbai,Punjab Kings
Mumbai Indians,Kolkata Knight Riders,Kolkata Knight Riders,field,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai,Mumbai Indians
Royal Challengers Bengaluru,Sunrisers Hyderabad,Sunrisers Hyderabad,field,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai,Royal Challengers Bengaluru
Delhi Capitals,Rajasthan Royals,Rajasthan Royals,field,"Wankhede Stadium, Mumbai",Mumbai,Rajasthan Royals
Punjab Kings,Chennai Super Kings,Chennai Super Kings,field,"Wankhede Stadium, Mumbai",Mumbai,Chennai Super Kings
