team1,team2,toss_winner,toss_decision,venue,city,winner,team1_win_rate,team2_win_rate,team1_venue_wins,head_to_head_advantage
Kolkata Knight Riders,Rajasthan Royals,Kolkata Knight Riders,field,Newlands,Cape Town,Rajasthan Royals,0.5110132158590308,0.49261083743842365,0,0
Royal Challengers Bengaluru,Punjab Kings,Royal Challengers Bengaluru,bat,Kingsmead,Durban,Punjab Kings,0.4711111111111111,0.43891402714932126,3,-1
Royal Challengers Bengaluru,Delhi Capitals,Royal Challengers Bengaluru,bat,St George's Park,Port Elizabeth,Delhi Capitals,0.4711111111111111,0.4419642857142857,0,8
Punjab Kings,Rajasthan Royals,Punjab Kings,bat,Newlands,Cape Town,Punjab Kings,0.43891402714932126,0.49261083743842365,1,-4
Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,bat,St George's Park,Port Elizabeth,Mumbai Indians,0.5110132158590308,0.5512820512820513,0,-12
Delhi Capitals,Rajasthan Royals,Delhi Capitals,bat,SuperSport Park,Centurion,Rajasthan Royals,0.4419642857142857,0.49261083743842365,1,-1
Royal Challengers Bengaluru,Kolkata Knight Riders,Kolkata Knight Riders,bat,Kingsmead,Durban,Royal Challengers Bengaluru,0.4711111111111111,0.5110132158590308,3,-6
Punjab Kings,Mumbai Indians,Punjab Kings,bat,Kingsmead,Durban,Punjab Kings,0.43891402714932126,0.5512820512820513,2,-2
Chennai Super Kings,Rajasthan Royals,Rajasthan Royals,field,SuperSport Park,Centurion,Chennai Super Kings,0.5799086757990868,0.49261083743842365,2,3
Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,bat,Buffalo Park,East London,Mumbai Indians,0.5110132158590308,0.5512820512820513,0,-12
Royal Challengers Bengaluru,Punjab Kings,Royal Challengers Bengaluru,bat,Kingsmead,Durban,Royal Challengers Bengaluru,0.4711111111111111,0.43891402714932126,3,-1
Chennai Super Kings,Delhi Capitals,Delhi Capitals,field,New Wanderers Stadium,Johannesburg,Chennai Super Kings,0.5799086757990868,0.4419642857142857,1,8
Punjab Kings,Kolkata Knight Riders,Kolkata Knight Riders,bat,St George's Park,Port Elizabeth,Punjab Kings,0.43891402714932126,0.5110132158590308,1,-9
Royal Challengers Bengaluru,Mumbai Indians,Mumbai Indians,bat,New Wanderers Stadium,Johannesburg,Royal Challengers Bengaluru,0.4711111111111111,0.5512820512820513,3,-5
Punjab Kings,Rajasthan Royals,Punjab Kings,field,Kingsmead,Durban,Rajasthan Royals,0.43891402714932126,0.49261083743842365,2,-4
Delhi Capitals,Kolkata Knight Riders,Kolkata Knight Riders,bat,Kingsmead,Durban,Delhi Capitals,0.4419642857142857,0.5110132158590308,2,-3
Royal Challengers Bengaluru,Rajasthan Royals,Rajasthan Royals,field,SuperSport Park,Centurion,Rajasthan Royals,0.4711111111111111,0.49261083743842365,1,1
Chennai Super Kings,Punjab Kings,Chennai Super Kings,bat,SuperSport Park,Centurion,Chennai Super Kings,0.5799086757990868,0.43891402714932126,2,2
Delhi Capitals,Mumbai Indians,Mumbai Indians,bat,Buffalo Park,East London,Delhi Capitals,0.4419642857142857,0.5512820512820513,1,-3
Chennai Super Kings,Rajasthan Royals,Rajasthan Royals,bat,De Beers Diamond Oval,Kimberley,Chennai Super Kings,0.5799086757990868,0.49261083743842365,1,3
Royal Challengers Bengaluru,Mumbai Indians,Mumbai Indians,bat,St George's Park,Port Elizabeth,Mumbai Indians,0.4711111111111111,0.5512820512820513,0,-5
Delhi Capitals,Kolkata Knight Riders,Delhi Capitals,field,New Wanderers Stadium,Johannesburg,Delhi Capitals,0.4419642857142857,0.5110132158590308,1,-3
Royal Challengers Bengaluru,Kolkata Knight Riders,Royal Challengers Bengaluru,field,SuperSport Park,Centurion,Royal Challengers Bengaluru,0.4711111111111111,0.5110132158590308,1,-6
Punjab Kings,Mumbai Indians,Punjab Kings,bat,SuperSport Park,Centurion,Mumbai Indians,0.43891402714932126,0.5512820512820513,0,-2
Royal Challengers Bengaluru,Chennai Super Kings,Chennai Super Kings,bat,Kingsmead,Durban,Royal Challengers Bengaluru,0.4711111111111111,0.5799086757990868,3,-10
Mumbai Indians,Rajasthan Royals,Rajasthan Royals,bat,Kingsmead,Durban,Rajasthan Royals,0.5512820512820513,0.49261083743842365,0,1
Delhi Capitals,Punjab Kings,Punjab Kings,field,OUTsurance Oval,Bloemfontein,Punjab Kings,0.4419642857142857,0.43891402714932126,1,-1
